FIPS,STATE,CTYNAME,POVEST,POVRATE,MEDINCOME,TOTALPOP,GENDER_M,GENDER_F,AGE 0-19,AGE 20-49,AGE 50 ABOVE
13001,GA,Appling County,3954,21.9,42781,18507,9240,9267,4995,6642,6870
13003,GA,Atkinson County,2156,26.1,36779,8297,4188,4109,2381,3223,2693
13005,GA,Bacon County,2473,22.8,38775,11185,5468,5717,3093,4251,3841
13007,GA,Baker County,704,22.9,38288,3092,1529,1563,655,1020,1417
13009,GA,Baldwin County,9313,23.8,42727,44823,22742,22081,11227,17936,15660
13011,GA,Banks County,2469,13,55384,18988,9645,9343,4693,6990,7305
13013,GA,Barrow County,7651,9.5,61413,80809,39597,41212,22739,33488,24582
13015,GA,Bartow County,12768,12.2,57409,106408,52478,53930,28085,41868,36455
13017,GA,Ben Hill County,4305,26.2,35020,16787,7965,8822,4535,5967,6285
13019,GA,Berrien County,4144,21.8,39412,19252,9454,9798,5080,6953,7219
13021,GA,Bibb County,36326,24.7,41390,153095,71847,81248,42113,58747,52235
13023,GA,Bleckley County,2156,18.7,46019,12838,6124,6714,3451,4703,4684
13025,GA,Brantley County,3419,18.3,41874,18897,9312,9585,4868,6971,7058
13027,GA,Brooks County,3768,24.5,36354,15513,7569,7944,3679,5286,6548
13029,GA,Bryan County,3264,8.6,79658,38109,18795,19314,12084,15854,10171
13031,GA,Bulloch County,16439,22.9,43766,77296,37919,39377,21291,35401,20604
13033,GA,Burke County,4853,22,42785,22423,10682,11741,6358,7972,8093
13035,GA,Butts County,4228,19.7,48831,24193,12774,11419,5589,10042,8562
13037,GA,Calhoun County,1723,37.2,33393,6352,3830,2522,1234,2897,2221
13039,GA,Camden County,8134,15.8,56555,53677,27469,26208,14438,22670,16569
13043,GA,Candler County,2587,24.6,35841,10836,5313,5523,2956,3837,4043
13045,GA,Carroll County,19187,16.8,52502,118121,57613,60508,32554,48478,37089
13047,GA,Catoosa County,7911,11.9,55807,67420,32610,34810,16989,25124,25307
13049,GA,Charlton County,2753,25.6,40499,12968,7436,5532,2784,5606,4578
13051,GA,Chatham County,39488,14.4,54165,289195,138978,150217,70655,122215,96325
13053,GA,Chattahoochee County,1408,17.3,46869,10684,6843,3841,2927,6452,1305
13055,GA,Chattooga County,4575,19.5,39513,24790,12680,12110,6116,9314,9360
13057,GA,Cherokee County,18576,7.4,82733,254149,125168,128981,68250,99774,86125
13059,GA,Clarke County,31645,27,42112,127330,60322,67008,31123,65288,30919
13061,GA,Clay County,841,29.8,30239,2887,1362,1525,643,863,1381
13063,GA,Clayton County,50072,17.6,46059,289615,135554,154061,88785,123322,77508
13065,GA,Clinch County,1695,25.8,37593,6648,3232,3416,1839,2465,2344
13067,GA,Cobb County,67585,9.1,78603,756865,366600,390265,197887,321892,237086
13069,GA,Coffee County,9505,23.9,39480,43093,22140,20953,11731,17745,13617
13071,GA,Colquitt County,10700,23.9,38633,45592,22585,23007,13011,17384,15197
13073,GA,Columbia County,10858,7.1,82184,154291,75273,79018,42652,62451,49188
13075,GA,Cook County,4156,24.5,38827,17162,8268,8894,4704,6381,6077
13077,GA,Coweta County,14844,10.2,70974,145864,70983,74881,39195,56688,49981
13079,GA,Crawford County,2251,18.5,48004,12318,6214,6104,2761,4258,5299
13081,GA,Crisp County,6063,27.4,36096,22601,10687,11914,5949,7895,8757
13083,GA,Dade County,2067,13.6,48779,16226,7971,8255,3739,5991,6496
13085,GA,Dawson County,2168,8.7,68835,25083,12400,12683,5700,8942,10441
13087,GA,Decatur County,5923,23.2,38441,26575,12857,13718,7197,9890,9488
